"class","dept","name","role","paste.bio..collapse.....n..","area","leadership","education","role_sp","envt","econ_geog","urban"
"academic-staff","Department of Geography and Environment","Professor Christian  Hilber","Professor of Economic Geography; Deputy Head of Department (Teaching)","Christian Hilber is Professor of Economic Geography. He is an Associate of the Centre for Economic Performance (CEP). Christian is also a member of the Academic Panel of the What Works Centre.
Christian holds a Ph.D. in Economics (1998) and an MSc in Business and Economics (1994) from the University of Basel, Switzerland. Prior to joining LSE in 2003, he was a Postdoctoral Research Fellow at the Wharton School, University of Pennsylvania (1999-2002) and an Economist at Fannie Mae (2002-2003).
Christian’s research concerns urban economics, real estate, housing and local public finance, and political economy. The core focus of his current research is on issues relating to housing and land supply, land use regulation, homeownership, property price determination, agglomeration economies, and social capital. He has published in journals such as Review of Economics and Statistics, Economic Journal, Journal of Public Economics and Journal of Urban Economics. 
He currently serves as an Associate Editor of Regional Science and Urban Economics and of the Journal of Regional Science, and as a member of the Editorial Board of Journal of Housing Economics. He is a member of the Editorial Advisory Board of Public Finance Review. He served as a Member of the Board of Directors of the American Real Estate and Urban Economics Association (AREUEA) between 2015 and 2017. He is a Fellow of the Weimer School of Advanced Studies in Real Estate and Land Economics. He has served as a consultant to the H.M. Treasury and gave evidence to the National Audit Office, the H.M. Treasury Select Committee, and the House of Lords Select Committee.
His work has been quoted in the Economist, Wall Street Journal, the Financial Times, the Washington Post, among other outlets, and was used as evidence in Hearings before the U.S. Senate Committee on Finance and the U.S. Senate Budget Committee. Christian has won numerous prizes for his research, teaching, and services to the research community (refereeing). 
His recent working papers, forthcoming publications, other publications and his CV can be viewed on his personal homepage.","Economic Geography"," Deputy Head of Department (Teaching)",FALSE,"Professor",FALSE,TRUE,FALSE
"academic-staff","Department of Geography and Environment","Professor Riccardo Crescenzi","Professor of Economic Geography; Deputy Head of Department (Research)","Riccardo Crescenzi is a Professor of Economic Geography at the London School of Economics and Political Science (LSE), UK. He has been a European Research Council (ERC) grant holder, leading a major five-year research project on foreign direct investment (FDI), global value chains (GVCs) and their territorial impacts across the globe. He is currently the LSE Principal Investigator of a large collaborative research project funded by Horizon Europe and UK Research and Innovation (UKRI) on inequalities in the era of global megatrends.
Riccardo has been a Jean Monnet Fellow at the European University Institute (EUI), a Visiting Scholar at the Taubman Centre at Harvard University, and at the University of California—Los Angeles (UCLA), as well as an Associate at the Centre for International Development (CID) at the Harvard Kennedy School of Government.
Riccardo is the 2016 recipient of the Talented Young Italians Award for ‘Research and Innovation’, ""in recognition of his outstanding research accomplishments"" and the 2017 recipient of the Geoffrey J.D. Hewings Award from the North American Regional Science Council for “outstanding contribution to Regional Science Research”.
He has provided academic advice to, amongst others, the European Investment Bank (EIB), the European Parliament, the European Commission, the Inter-American Development Bank (IADB), the Asian Infrastructure Investment Bank (AIIB), the Organisation for Economic Co-operation and Development (OECD) and the World Bank. Riccardo has also served as the Rapporteur of the High-Level Expert Group on Innovative Cities established by the European Commissioner for Research and Innovation and has been part of the National Commission for Infrastructure and Sustainable Mobility established by the Italian Government to plan investment in sustainable mobility until 2050. Riccardo is currently a Member of the High-Level Reflection Group on the ‘Future of Cohesion Policy’ established by the European Commission to offer advice and knowledge on maximising the impact of Cohesion Policy.
He is an Editor of Regional Studies and an associate editor of the Journal of Regional Science.
Riccardo has a long track-record of teaching and research in regional economic development, innovation, FDI and GVCs, and in the analysis and evaluation of public policies. This research is published in top peer-reviewed journals in economic geography, international economics and international business and management and widely cited in academic and policy circles. His most recent book “Harnessing Global Value Chains for Regional Development” (2023, Routledge) explores how regions, cities and clusters can build, embed and reshape global value chains for local enhancement.
Riccardo is in the Economic Geography research cluster within the Department of Geography and Environment at LSE. 
Riccardo's research relates to these Department of Geography and Environment research themes:","Economic Geography"," Deputy Head of Department (Research)",FALSE,"Professor",FALSE,TRUE,FALSE
"academic-staff","Department of Geography and Environment","Professor Charles  Palmer","Professor of Environment and Development Economics ","Charles Palmer joined the Department of Geography and Environment in September 2009. Previously he was a Senior Researcher at the Chair of Environmental Policy and Economics, ETH Zurich, Switzerland.
He holds a BA in Biological Sciences from Oxford University, an MSc in Environmental and Resource Economics from University College London and a PhD in Agricultural Economics from the University of Bonn, Germany.
He primarily works in the fields of environmental and development economics, has published widely, and has worked for a number of international organisations including the United Nations Development Programme (UNDP) in New York, and the Center for International Forestry Research (CIFOR) in Indonesia.
His current research includes the continuation of work on forest management and land-use change in tropical countries, as well as work on urban land use and research on similar topics in his home country, the UK.
Participatory approaches to natural resource conservation in the Brazilian Amazon
View Dr Palmer's CV.","Environment and Development Economics",NA,FALSE,"Professor",TRUE,FALSE,FALSE
"academic-staff","Department of Geography and Environment","Dr Nancy  Holman","Associate Professor of Urban Planning","Nancy joined the Department of Geography and Environment in August 2008 having previously managed the MSc in Housing and Regeneration in the Department of Social Policy, also at the London School of Economics and Political Science. A planner by training, she has a PhD in Urban Policy (University of Portsmouth, 1999) and an MSc in Community and Regional Planning (University of Texas, 1996). Her work deals primarily with issues of governance and local planning including sustainable development and community participation. She has often used social network analysis to explore the complex relationships in the multi-level, multi-actor partnerships present in modern governing arrangements.
LSE London, Member - LSE London is the London School of Economics' specialist research unit focusing on analyses of London's economy and broader metropolitan issues in a comparative context. The unit has a strong international reputation particularly in the fields of labour markets, social and demographic change, housing, finance and governance, and is the leading academic centre for analyses of city-wide developments in London. It is an interdisciplinary group involving staff from a number of departments who have particular expertise in economics, geography, government and planning.
Conservation Policy:  Urban conservation policy is a strong theme in my current research.  Along with a colleague at the LSE, I have completed a large-scale analysis of conservation areas in England.  This has included a spatial hedonic analysis of more than 1million property transactions in 8,000 conservation areas in England and a qualitative analysis of more than 48 conservation areas in London.  Our preliminary findings suggest that positive heritage externalities exist and that residents in CAs tend to value their local environments, acknowledge the need for planning control and execute their right to object to neighbour’s planning request. A series of publications have and are following on from this research.  In addition, with colleagues at LSE London, I have applied for a large Urban Europe grant to examine how the value of heritage can be maintained in challenging economic conditions.
Urban Housing and Planning in London: My work here has dealt with the manner in which urban regime theory might help us understand politics and planning in the UK context.  I have recently undertaken research looking at the Localism Act using social capital to examine what the key dilemmas may be for localist planning. I have also completed work on the politics of suburbia in London and have examined housing density policy in the Capital.  Alongside colleagues in LSE London I have recently received £99,110 from the Higher Education Innovation Funding initiative to help us disseminate and exchange knowledge around our research on the Housing crisis in London. 
Get to know Nancy a little more through our Spotlight series","Urban Planning",NA,FALSE,"Associate Professor",TRUE,FALSE,TRUE
"academic-staff","Department of Geography and Environment","Professor Olmo  Silva","Professor of Real Estate Economics and Finance; Director of Graduate Studies","Olmo joined the Department in September 2007. He is Reseach Associate at the Spatial Economics Research Centre where he was Research Director between 2013 and 2016. He is also a Research Associate at the Centre for Economic Performance at the LSE, where he worked as a full-time research officer between September 2004 and August 2007. His research concentrates on the economics of education, the economics of entrepreneurship and urban and real estate economics.
Olmo received his BSc and MSc in Economics from Bocconi University, Milan, and earned his Ph.D. in Economics from the European University Institute, Florence. He also spent some time visiting University College London as a Marie Curie Visiting Fellow and Harvard University as a Visiting Scholar. He is a Research Fellow of both the IZA Network and the CESifo group.
His research has been published in leading general interest and field journals, including the Economic Journal, the Journal of the European Economic Association, the Journal of Labor Economics, the Journal of Urban Economics, and the Review of Economics and Statistics.","Real Estate Economics and Finance"," Director of Graduate Studies",FALSE,"Professor",FALSE,FALSE,FALSE
"academic-staff","Department of Geography and Environment","Dr Laura Antona","Assistant Professor (Education) in Human Geography","Laura is a critical and feminist human geographer whose work both draws upon and contributes to feminist political economy, urban geography, and critical migration studies, while methodological innovation. Her research focuses primarily on labour, migration, gender, and violence in both Southeast Asia and Europe.
Laura holds a PhD in Human Geography and Urban Studies from the London School of Economics and Political Science, and both an MSc and BSc from University College London.
Based on a decade of research in Southeast Asia and prolonged ethnographic fieldwork, Laura’s currently working on a book project which focuses on the experiences of women who have experienced forced migrant removal in Southeast Asia. Laura also has an ongoing collaborative project (with Sneha Krishnan at the University of Oxford) on abolition domesticities. This work builds on research she conducted while completing an ESRC Postdoctoral Research Fellowship at the University of Oxford’s School of Geography and the Environment. Finally, Laura has also begun archival and ethnographic research on the legacy of forced migration within and from Cyprus.
Laura has published work in venues such as: Transactions of the Institute of British Geographers; Annals of the American Association of Geographers; Environment and Planning D: Society and Space; and Social and Cultural Geography. ","Human Geography",NA,TRUE,"Assistant Professor",FALSE,FALSE,TRUE
"academic-staff","Department of Geography and Environment","Professor Giles Atkinson","Professor of Environmental Policy","Giles is Professor of Environmental Policy in the Department of Geography and Environment. He is also an Associate of the Grantham Research Institute on Climate Change and Environment at LSE.
An environmental economist by training, Giles has published extensively on the subject of the sustainability of economic development. Much of this research has examined how policy-makers can construct better measures of economic progress through, for example, wealth accounting and natural capital accounting. His work additionally focuses on cost-benefit analysis and the environment, the valuation of natural capital and environmental equity.
Outside of LSE, Giles was a Member of UK Natural Capital Committee during its first phase. He has also been a member of the Policy and Technical Experts Committee (PTEC) for the World Bank's WAVES partnership (Wealth Accounting and the Valuation of Ecosystem Services) as well as the Advisory Board for TEEB (The Economics of Ecosystems and Biodiversity). He is currently a member of Steering Group for the Natural Capital Accounting Project of the ONS (UK Office for National Statistics) and a member of Scientific Committee of the UK Network for Environmental Economists.
 ","Environmental Policy",NA,FALSE,"Professor",TRUE,FALSE,FALSE
"academic-staff","Department of Geography and Environment","Dr Sara  Bagagli","Assistant Professor of Real Estate Economics and Finance","Prior to joining the Department, I was a Postdoctoral Fellow at the Department of Economics at Harvard University. I obtained my PhD in Economics at the University of Zurich. My research aims to contribute to our understanding of what drives the (unequal) distribution of people and economic activity across space, with a focus on the role of transportation infrastructure and urban forms.","Real Estate Economics and Finance",NA,FALSE,"Assistant Professor",FALSE,TRUE,FALSE
"academic-staff","Department of Geography and Environment","Dr Felipe Carozzi","Associate Professor of Urban Economics and Economic Geography","Felipe Carozzi joined the Department in 2015. He completed his PhD in Economics at the Center for Monetary and Financial Studies (CEMFI), Madrid.","Urban Economics and Economic Geography",NA,FALSE,"Associate Professor",FALSE,TRUE,FALSE
"academic-staff","Department of Geography and Environment","Dr Ryan Centner","Associate Professor of Urban Geography","Dr Centner is a sociologist, a geographer, an urbanist, and a development scholar whose diverse research portfolio revolves around a core interest in urban transformation at the nexus of social, spatial, and economic change. He focuses on how the built environment as well as people’s conditions and experiences shape each other. The dynamics of place inequality, place distinctiveness, and place promotion are central to his work across very different research sites. He is a multilingual researcher, using Spanish, Portuguese, and French extensively in his work.
Ryan received his PhD in Sociology, with an emphasis in Global Metropolitan Studies, from the University of California, Berkeley, and has had visiting teaching or research affiliations in Buenos Aires, Cape Town, Irvine, Los Angeles, Paris, Portland, and Salamanca. Before joining the LSE, he worked on the faculty at Tufts University in International Relations, Latin American Studies, Sociology, and Urban & Environmental Planning.
Currently, he is engaged in three major projects: first, co-editing with Prof Leonard Nevárez (Vassar College, USA) the Oxford Handbook of Urban Sociology (Oxford University Press), due for publication in 2025; second, collaborating with Dr Natchee Blu Barnd (University of California, Santa Barbara, USA) on the People’s Guide to Portland (University of California Press), a social history of the city; and, third, a comparative ethnography of expatriates in Buenos Aires, Dubai, and London. His published work has appeared in the journals City & Community; Contexts: Sociology for the Public; Environment & Planning A: Economy & Space; Environment & Planning C: Politics & Space; Geoforum; the International Journal of Cultural Policy; the International Journal of Urban and Regional Research; Local Environment; the Nordic Journal of Urban Studies; and Political Power & Social Theory.
Every spring, he leads the LSE Geography & Environment undergraduate field course in Portland, Oregon, USA, focusing on four broad themes: (1) local innovation and regional development; (2) housing, gentrification, and homelessness; (3) legacies of the settler-colonial city; and (4) interventionist urban and environmental planning. Field teaching is at the heart of Ryan’s approach to the educational enterprise. Before he organised the Portland field course, he designed and implemented repeated educational trips to Cape Town, Havana, Geneva, Lyon, and New York City.
Ryan has also served in many roles for academic organisations, including thematic groups within the American Sociological Association, the American Association of Geographers, and the Royal Geographical Society. He has been an associate editor for the journal City & Community; currently he is on the editorial board of the Nordic Journal of Urban Studies and Contexts: Sociology for the Public, where he is the photo essay editor. Vivid urban photography is one of his passions; images can tell so many stories, as well as opening up countless questions worth exploring.Research
Thematic areas:
Research locations:
Advising
Completed PhD students:
Current PhD students:
Dr Centner welcomes applications from potential PhD students interested in the following topics and areas:
Teaching
Current:
Previous teaching:
Publications
Centner, Ryan, and Mara Nogueira. 2024. ‘Geographies of Entitled Anger: Revanchist Populism in Brazil and Beyond’. Environment and Planning C: Politics and Space 42(4):501–8. doi: 10.1177/23996544241254249.
Centner, Ryan. 2023. ‘Imaginative, Extroverted Havana’. Contexts 22(3):48–61. doi: 10.1177/15365042231192500.
Centner, Ryan. 2021. ‘A Very Nordic Set of Concerns? Visionary Circumspection and Theoretical Conversations with the Rest of the World’. Nordic Journal of Urban Studies 1(1):19–41. doi: 10.18261/issn.2703-8866-2021-01-02.
Centner, Ryan. 2020. ‘On Not Being Dubai: Infrastructures of Urban Cultural Policy in Istanbul & Beirut’. International Journal of Cultural Policy 26(6):722–39. doi: 10.1080/10286632.2020.1811249.
Centner, Ryan. 2013. ‘Distinguishing the Right Kind of City: Contentious Urban Middle Classes in Argentina, Brazil and Turkey’. in Locating the Right to the City in the Global South. Routledge.
Centner, Ryan. 2012. ‘Microcitizenships: Fractious Forms of Urban Belonging after Argentine Neoliberalism’. International Journal of Urban and Regional Research 36(2):336–62. doi: 10.1111/j.1468-2427.2011.01050.x.
Centner, Ryan. 2012. ‘Moving Away, Moving Onward: Displacement Pressures and Divergent Neighborhood Politics in Buenos Aires’. Environment and Planning A 44(11):2555–73. doi: 10.1068/a44440.
Centner, Ryan. 2012. ‘Techniques of Absence in Participatory Budgeting: Space, Difference and Governmentality across Buenos Aires’. Bulletin of Latin American Research 31(2):142–59. doi: 10.1111/j.1470-9856.2011.00658.x.
Centner, Ryan. 2010. ‘Spatializing Distinction in Cities of the Global South: Volatile Terrains of Morality and Citizenship’. Political Power and Social Theory 21:281–98. doi: 10.1108/S0198-8719(2010)0000021016.
Centner, Ryan. 2008. ‘Places of Privileged Consumption Practices: Spatial Capital, the Dot-Com Habitus, and San Francisco’s Internet Boom’. City & Community 7(3):193–223. doi: 10.1111/j.1540-6040.2008.00258.x.
More about Ryan
Get to know Ryan a little more through our Spotlight series.
 ","Urban Geography",NA,FALSE,"Associate Professor",FALSE,FALSE,TRUE
"academic-staff","Department of Geography and Environment","Professor Paul Cheshire","Emeritus Professor of Economic Geography","An economist by training, Paul Cheshire is Emeritus Professor of Economic Geography, now working part time. He has a strong interest in policy analysis and policy related fields, particularly in urban land markets, housing and urban growth, and has been named one of the Planning industry's most influential people. 
Paul co-edited the Handbook of Regional & Urban Economics, Vol. 3: applied urban economics (Amsterdam: North Holland, 1999) with E. S. Mills, and Recent Developments in Urban and Regional Economics (Aldershot: Edward Elgar, 2004) with Gilles Duranton. His most recent books are Urban Economics and Urban Policy: Challenging Conventional Policy Wisdom (Edward Elgar, 2014), with Henry Overman and Max Nathan and The Economics of Land Markets and their Regulation (Edward Elgar, 2017) edited with Christian Hilber. 
He is the author/co-author of more than 100 papers and was the 1989 winner of the Donald Robertson Memorial Prize and in 2004 won the Royal Economic Society's prize for the best paper in the Economic Journal. He won the European Regional Science Association/European Investment Bank's prize for lifetime contribution to regional science research in 2009. 
He is an elected Fellow of the Academy of the Social Sciences and of the Weimer School. He held a Leverhulme Research Fellowship in 2000/01 and was a Visiting Fellow of the Lincoln Institute of Land Policy in 2002. He was awarded a CBE for services to Economics and Housing in 2017. 
Apart from his academic work he has spent time as an advisor and as a consultant for the European Commission, the World Bank, the OECD, the UN and other international organisations as well as the UK government, including being a member of the Expert Panel for the Barker Review of the Planning System, and an Academic Friend of the Eddington Transport Study. Until its abolition in 2010 he was a board member of the National Housing and Planning Advice Unit and a member of two of the Department of Communities and Local Government's Expert Panels. In 2021 he acted as the Specialist Advisor to the House of Lords Select Committee on the Built Environment.
View Paul's CV.","Economic Geography",NA,FALSE,"Emeritus Professor",FALSE,TRUE,FALSE
"academic-staff","Department of Geography and Environment","Dr Julia Corwin","Assistant Professor in Environmental Geography","Julia Corwin is a critical human geographer and urban ethnographer whose research interests focus on the relationship between commodities, labour and the environment. She draws from political economic, STS, de/anti/post-colonial and political ecology approaches to study economies and cultures of waste and repair. Her research has focused on global flows of electronic ‘waste’ and their revaluation through economies of repair and re-manufacturing in Delhi, India, conducted through a patchwork ethnography of local markets and their role in global electronics trade networks. Her new research examines care work and the politics of electronics repair in London. Prior to her entry into academia, Julia worked on urban environmental issues in New York City, working for the Department of Sanitation and the Parks Department.
Julia holds a PhD in Geography from the University of Minnesota. ","Environmental Geography",NA,FALSE,"Assistant Professor",TRUE,FALSE,TRUE
"academic-staff","Department of Geography and Environment","Professor Simon Dietz","Professor of Environmental Policy","Simon Dietz is Professor of Environmental Policy in the Department of Geography and Environment. He is also affiliated with the Grantham Research Institute on Climate Change and the Environment, of which he is a co-founder and former director.
Simon is an environmental economist with diverse interests, from climate change to biodiversity and from decision theory to growth theory, however he is probably best known for his work on the social cost of carbon emissions and its relationship with issues in welfare economics such as discounting, and risk and uncertainty aversion. In recent years he has also focused on corporate climate action and is the lead researcher on the Transition Pathway Initiative, an investor-led project to assess the progress that large, multi-national corporations are making on the transition to a low-carbon economy.
He is also a Visiting Fellow at the Oxford Martin School and a Research Associate of the Smith School of Enterprise and the Environment, Oxford University, a CESifo Research Network Fellow, a Principal consultant at Vivid Economics, and is co-editor of the Journal of the Association of Environmental and Resource Economists.
Awards
EAERE Award for Outstanding Publication in the journal Environmental and Resource Economics 2013 Finance for the Future Award for Driving Change Through Education, Training & Academia, 2018European Award for Researchers in Environmental Economics under the Age of Forty, 2018","Environmental Policy",NA,FALSE,"Professor",TRUE,FALSE,FALSE
"academic-staff","Department of Geography and Environment","Dr Eugenie Dugoua","Assistant Professor in Environmental Economics","I am an environmental economist analyzing the issue of technological change. My interests lie primarily in understanding how institutions and policies influence science, innovation, and technological change so that economic development can be sustainable for the environment and societies.
I recently graduated with a Ph.D. from Columbia University and started as an assistant professor in Environmental Economics at the London School of Economics, in the Department of Geography and Environment.
 ","Environmental Economics",NA,FALSE,"Assistant Professor",TRUE,FALSE,FALSE
"academic-staff","Department of Geography and Environment","Professor Steve  Gibbons","Professor of Economic Geography","Stephen Gibbons is Professor of Economic Geography at the Department of Geography and Environment, London School of Economics. 
He was Head of Department from 2019-2023.
Steve's research over the past two decades has addressed spatial issues in the economics of education, transport infrastructure, environmental amenities, housing markets, labour markets, health and crime. His work places a special emphasis on understanding causality and informing policy related to geographical disparities and economic performance.
Recent work has focussed on the analysis of the impacts of transport connectivity, contributing to many projects with the Department for Transport, National Infrastructure Commission and private consultancies. Steve is currently a co-editor for the Journal of Economic Geography. He teaches urban economics, geographical information systems and methods for spatial analysis.
View Steve's CV","Economic Geography",NA,FALSE,"Professor",FALSE,TRUE,FALSE
